Rok,RID,NAZEV,přihlášek,"""živých"" přihlášek",přihlášených,"""živých"" přihlášených",přijetí,přijatých,zápisů,zapsaných
2013,79000,"Pražská vysoká škola psychosociálních studií, s.r.o.",163,124,163,124,75,75,60,60
2013,7A000,"Západomoravská vysoká škola Třebíč, o.p.s.",20,15,20,15,15,15,13,13
2013,7B000,Soukromá vysoká škola ekonomická Znojmo s.r.o.,270,189,270,189,189,189,164,164
2013,7C000,Moravská vysoká škola Olomouc o.p.s.,326,326,326,326,270,270,183,183
2013,7D000,CEVRO institut o.p.s.,224,167,214,161,166,161,125,123
2013,7E000,Unicorn College s.r.o.,259,201,247,196,200,195,178,174
2013,7G000,"Vysoká škola obchodní a hotelová, s.r.o.",225,212,225,212,212,212,86,86
2013,7H000,"Vysoká škola realitní - Institut Franka Dysona, s.r.o.",8,8,8,8,1,1,1,1
2013,7J000,"VŠ sociálně správní, ICVHavířov, o.p.s.",113,98,113,98,96,96,79,79
2013,7L000,"AKCENT College, s.r.o.",66,66,66,66,57,57,51,51
2013,7M000,Archip s.r.o.,6,6,6,6,6,6,2,2
2013,7N000,"Vysoká škola aplikované psychologie, s.r.o.",50,42,50,42,42,42,27,27
2013,7P000,"ŠKODA AUTO VŠ, o.p.s.",62,62,62,62,62,62,39,39
2014,00000,všechny veřejné a soukromé VŠ,227464,195099,116307,106322,108665,81385,76866,74160
2014,11000,Univerzita Karlova v Praze,26922,22158,17341,14775,8672,7090,6131,5974
2014,11110,1. lékařská fakulta,1010,668,1008,667,210,210,185,185
2014,11120,3. lékařská fakulta,1169,962,1078,878,206,192,121,120
2014,11130,2. lékařská fakulta,391,256,389,256,84,84,67,67
2014,11150,Lékařská fakulta Hradec Králové,37,37,37,37,33,33,30,30
2014,11160,Farmaceutická fakulta Hradec Králové,305,255,305,255,143,143,99,99
2014,11210,Filozofická fakulta,6147,4777,4309,3445,1408,1098,930,918
2014,11230,Fakulta sociálních věd,3868,3386,3033,2643,1048,890,679,658
2014,11240,Fakulta humanitních studií,1899,1745,1895,1743,696,695,651,651
2014,11260,Katolická teologická fakulta,225,155,212,150,127,125,112,112
2014,11270,Evangelická teologická fakulta,220,186,219,185,173,172,159,159
2014,11280,Husitská teologická fakulta,319,319,308,308,284,277,244,244
2014,11310,Přírodovědecká fakulta,2461,2132,1836,1563,1488,1114,764,760
2014,11320,Matematicko-fyzikální fakulta,1118,1034,1024,953,741,675,528,525
2014,11410,Pedagogická fakulta,5397,4222,4378,3445,1478,1348,1099,1080
2014,11510,Fakulta tělesné výchovy a sportu,2356,2024,1990,1728,553,520,463,462
